0,9.019531,-1.518520,-4.476453,0.325385,-0.097173,0.333071,-0.092273,57150
1,8.988281,-1.505453,-4.454968,0.326186,-0.088110,0.334139,-0.092373,57111
2,8.960938,-1.494035,-4.436170,0.313758,-0.092415,0.335059,-0.092461,57077
3,8.933594,-1.482631,-4.417371,0.396653,-0.093347,0.335963,-0.092548,57044
4,8.910156,-1.472868,-4.401258,0.393445,-0.079180,0.336728,-0.092623,57013
5,8.882812,-1.461491,-4.382459,0.354383,-0.084440,0.337605,-0.092711,56978
6,8.863281,-1.453375,-4.369031,0.322540,-0.089546,0.338222,-0.092774,56951
7,8.833984,-1.441215,-4.348893,0.371275,-0.102221,0.339133,-0.092871,56915
8,8.800781,-1.427456,-4.326074,0.316585,-0.099084,0.340143,-0.092986,56874
9,8.779297,-1.418566,-4.311308,0.352920,-0.083288,0.340784,-0.093060,56846
10,8.753906,-1.408072,-4.293859,0.306159,-0.109021,0.341529,-0.093147,56812
11,8.728516,-1.397592,-4.276415,0.363050,-0.098273,0.342260,-0.093241,56779
12,8.708984,-1.389540,-4.262997,0.342137,-0.091781,0.342813,-0.093313,56751
13,8.687500,-1.380691,-4.248237,0.312714,-0.092715,0.343412,-0.093393,56722
14,8.673828,-1.375065,-4.238844,0.354466,-0.103342,0.343789,-0.093443,56701
15,8.621094,-1.353398,-4.202626,0.312973,-0.092890,0.345208,-0.093650,56640
16,8.599609,-1.344586,-4.187875,0.404735,-0.095353,0.345771,-0.093738,56611
17,8.541016,-1.320606,-4.147652,0.396508,-0.093413,0.347253,-0.093986,56546
18,8.513672,-1.309442,-4.128886,0.337308,-0.092731,0.347918,-0.094107,56511
19,8.488281,-1.299092,-4.111461,0.394671,-0.095373,0.348519,-0.094219,56478
20,8.457031,-1.286375,-4.090015,0.383131,-0.090940,0.349237,-0.094357,56439
21,8.433594,-1.276853,-4.073936,0.415177,-0.102370,0.349760,-0.094466,56408
22,8.412109,-1.268137,-4.059196,0.320519,-0.097727,0.350226,-0.094567,56378
23,8.382812,-1.256271,-4.039098,0.350811,-0.101721,0.350844,-0.094704,56341
24,8.261719,-1.207456,-3.956059,0.346097,-0.090864,0.353164,-0.095305,56212
25,8.232422,-1.195703,-3.935977,0.354617,-0.096400,0.353668,-0.095459,56175
26,8.208984,-1.186317,-3.919914,0.318882,-0.095569,0.354054,-0.095584,56143
27,8.187500,-1.177727,-3.905191,0.301181,-0.098464,0.354396,-0.095700,56111
28,8.160156,-1.166811,-3.886456,0.375248,-0.087458,0.354812,-0.095852,56074
29,8.142578,-1.159805,-3.874414,0.355935,-0.086183,0.355069,-0.095951,56048
-1,0.000000,0.000000,-0.383963,-1.851591,-0.690707,-4.384180,0.000000,56048
